"Title","SJR","H index","Total Docs. (2017)","Total Docs. (3years)","Total Refs.","Total Cites (3years)","Citable Docs. (3years)","Cites / Doc. (2years)","Ref. / Doc.","Impact Factor"
"IEEE Multimedia",417,61,60,142,521,260,130,1.69,8.68,1.898
"IEEE Micro",413,84,79,188,729,450,160,2.38,9.23,1.913
"Photogrammetric Record",863,40,68,94,891,183,65,2.12,13.1,1.917
"Engineering Applications of Computational Fluid Mechanics",762,18,36,131,1265,257,129,2.01,35.14,1.918
"Personal and Ubiquitous Computing",391,73,98,338,2951,902,307,2.75,30.11,1.924
"Journal of Computational Science",509,26,194,372,5671,813,314,2.49,29.23,1.925
"Memetic Computing",692,23,42,75,755,170,60,2.87,17.98,1.925
"Journal of Mathematical Imaging and Vision",724,61,83,252,3492,542,241,1.76,42.07,1.927
"Computer Assisted Language Learning",1343,35,57,133,2356,286,126,1.93,41.33,1.928
"IEEE Internet Computing",379,101,95,258,789,485,232,2.32,8.31,1.929
"Journal of Information Science",674,54,72,185,2513,383,180,2.05,34.9,1.939
"International Journal of Simulation Modelling",711,18,60,160,1426,320,160,2.21,23.77,1.942
"ACM Transactions on Software Engineering and Methodology",494,68,12,88,756,307,81,2.84,63,1.946
"Inverse Problems",1209,94,166,413,5855,784,402,1.91,35.27,1.946
"Engineering with Computers",485,39,110,128,3122,225,122,2.01,28.38,1.951
"IEEE Transactions on Cognitive and Developmental Systems",703,26,69,71,967,189,62,2.68,14.01,1.952
"Pattern Recognition Letters",662,129,335,898,8326,2645,858,2.69,24.85,1.952
"Molecular Informatics",573,59,74,213,3162,396,201,2.02,42.73,1.955
"International Journal of Computer Assisted Radiology and Surgery",614,33,215,492,5735,993,477,1.98,26.67,1.961
"Human-centric Computing and Information Sciences",658,21,41,78,1434,217,77,2.65,34.98,1.967
"Computer Methods in Biomechanics and Biomedical Engineering",579,48,272,745,6272,1009,629,1.77,23.06,1.974
"Wireless Networks",336,79,392,576,6747,1113,547,1.82,17.21,1.981
"Applied Intelligence",600,49,225,366,5570,875,356,2.42,24.76,1.983
"International Journal of Computer Integrated Manufacturing",773,44,110,274,3602,508,263,1.86,32.75,1.995
"International Journal of Computational Intelligence Systems",564,31,68,293,2527,551,288,2.44,37.16,2
"International Journal of Social Robotics",1017,33,54,162,2728,503,152,2.8,50.52,2.009
"International Journal of High Performance Computing Applications",348,54,62,99,1380,185,95,1.62,22.26,2.015
"Fuzzy Optimization and Decision Making",878,44,41,71,601,183,71,2.13,14.66,2.022
"Computer Graphics Forum",597,94,280,792,13154,2069,780,2.51,46.98,2.046
"BMC Systems Biology",1109,67,143,450,7761,1040,446,2.13,54.27,2.05
"Nano Communication Networks",294,25,31,60,1265,126,53,2.23,40.81,2.07
"International Journal of Adaptive Control and Signal Processing",915,56,122,277,4098,681,272,2.26,33.59,2.082
"Telecommunications Policy",787,57,95,245,4231,519,228,2.34,44.54,2.087
"Multidimensional Systems and Signal Processing",494,30,133,139,2749,257,131,1.92,20.67,2.088
"GeoInformatica",479,45,44,87,1235,240,80,3.27,28.07,2.091
"Simulation Modelling Practice and Theory",684,51,98,321,4005,881,313,2.69,40.87,2.092
"Journal of Medical Systems",619,57,206,637,6691,1695,615,2.53,32.48,2.098
"Computers in Biology and Medicine",591,68,289,798,12013,1971,783,2.44,41.57,2.115
"Communications in Applied Mathematics and Computational Science",1186,17,5,22,189,51,22,2.5,37.8,2.125
"Design Studies",941,75,32,114,1619,382,110,3.14,50.59,2.133
"International Journal of Critical Infrastructure Protection",648,24,29,83,833,193,59,3.65,28.72,2.15
"IEEE Transactions on Nanobioscience",566,53,96,286,3733,700,272,2.3,38.89,2.158
"Image and Vision Computing",612,111,117,264,5470,784,247,2.39,46.75,2.159
"Journal of Intelligent Transportation Systems",1288,33,58,118,1311,265,107,2.15,22.6,2.164
"International Journal of Control",1152,99,448,631,6638,1550,608,2.17,14.82,2.173
"Scientometrics",1125,90,396,1100,16745,2973,1016,2.74,42.29,2.173
"SIAM Journal on Optimization",2195,99,105,301,3935,787,301,2.4,37.48,2.183
"International Journal of Systems Science",763,59,339,782,12719,1963,774,2.52,37.52,2.185
"IEEE Transactions on Information Theory",1162,241,562,1432,16418,4735,1424,2.9,29.21,2.187
"Journal of Manufacturing Technology Management",867,56,47,164,3379,426,163,2.76,71.89,2.194
"ReCALL",2813,28,25,65,899,170,57,2.08,35.96,2.206
"BMC Bioinformatics",1479,176,584,1756,21736,4300,1724,2.19,37.22,2.213
"Semantic Web",913,30,55,112,2467,413,102,5.01,44.85,2.224
"Molecular Diversity",494,50,92,215,3448,457,213,2.19,37.48,2.229
"Smart Structures and Systems",591,33,124,397,4607,852,384,2.24,37.15,2.231
"Autonomous Robots",1131,91,108,185,3564,566,177,3.02,33,2.244
"Knowledge and Information Systems",672,52,158,336,6443,869,335,2.65,40.78,2.247
"Finite Elements in Analysis and Design",1129,62,74,292,3039,753,290,2.39,41.07,2.253
"Operations Research",2951,115,103,297,3557,789,287,2.32,34.53,2.263
"International Journal of Bio-Inspired Computation",721,29,49,98,1589,346,95,4.53,32.43,2.266
"Journal of Systems and Software",472,89,225,602,11380,1902,583,3.19,50.58,2.278
"Journal of Machine Learning Research",1271,160,149,881,6956,3952,871,2.67,46.68,2.281
"Quantum Information Processing",708,38,316,790,12619,1842,778,2.41,39.93,2.283
"Topics in Cognitive Science",1004,42,64,164,2670,321,150,2.39,41.72,2.284
"Information Systems Research",3160,135,51,151,3176,555,144,2.67,62.27,2.301
"ACM Transactions on Sensor Networks",457,54,32,155,1870,478,155,3.33,58.44,2.313
"Annual Reviews in Control",824,64,38,108,3496,301,96,2.64,92,2.32
"Optical Materials",592,89,677,1646,24250,3898,1630,2.31,35.82,2.32
"International Journal for Numerical Methods in Biomedical Engineering",1021,48,108,169,5170,454,168,2.27,47.87,2.338
"Multisensory research",834,46,41,94,2058,192,90,2.32,50.2,2.339
"Journal of Computer-Aided Molecular Design",941,87,88,280,4213,750,274,2.29,47.88,2.356
"Soft Computing",593,56,880,817,18950,1697,786,2.04,21.53,2.367
"International Journal of Geographical Information Science",1113,93,132,372,5359,1109,361,2.52,40.6,2.37
"Computer Vision and Image Understanding",717,116,163,427,8014,1464,407,3.3,49.17,2.391
"International Journal of Fuzzy Systems",470,26,152,211,5854,512,208,2.27,38.51,2.396
"International Transactions in Operational Research",1071,41,129,209,2398,335,165,2.2,18.59,2.4
"Eurasip Journal on Wireless Communications and Networking",301,49,219,756,6235,1296,745,1.75,28.47,2.407
"Mechatronics",790,74,100,376,3479,1130,361,2.69,34.79,2.423
"Computers and Electronics in Agriculture",814,85,349,771,12559,2499,769,3.11,35.99,2.427
"Computerized Medical Imaging and Graphics",714,60,54,250,1877,622,232,2.87,34.76,2.435
"Data Mining and Knowledge Discovery",864,83,66,152,2801,581,146,3.81,42.44,2.481
"Journal of Enterprise Information Management",827,48,46,125,3438,443,125,3.48,74.74,2.482
"International Journal of Health Geographics",1385,59,48,132,2472,441,129,2.69,51.5,2.5
"Computer Networks",500,113,298,912,11904,2990,892,3.09,39.95,2.522
"Computational Materials Science",1766,91,561,1979,25189,5060,1945,2.55,44.9,2.53
"Information Systems",805,72,119,279,5589,1036,258,4.12,46.97,2.551
"IEEE Transactions on Human-Machine Systems",603,99,117,235,4911,828,232,3.54,41.97,2.563
"Electronic Commerce Research and Applications",818,60,45,150,2573,461,145,3.26,57.18,2.582
"ACM Transactions on Information and System Security",729,73,0,34,0,150,34,4.71,0,2.591
"IEEE Intelligent Systems",558,105,75,206,947,538,200,2.74,12.63,2.596
